,Timestamp,outdoor air temperature (F),humidity,windspeed,cloudcover,solar irradiance on PV panels (Watt per m^2),building total power consumption (Watts),freezer power consumption (Watts),refrigerator power consumption (Watts),refrigerator fan power consumption (Watts),west air conditioning power consumption (Watts),east air conditioning power consumption (Watts),total power consumption (Watts),Better Timestamp,date,time,month,12-hr-time
5639,2021-02-28 17:45:00,49.08,75.0,2.79,0.18,15.292406406543382,30250.642578125,4018.15283203125,7.596753120422363,43.06453704833984,371.36810302734375,872.2772827148438,35563.1020860672,2021-02-28 17:45:00,2021-02-28,17:45:00,2,5:45pm
5640,2021-02-28 18:00:00,48.1,76.0,2.52,0.16,0.0,,,,,370.9264526367188,2533.339599609375,,2021-02-28 18:00:00,2021-02-28,18:00:00,2,6:00pm
5641,2021-02-28 18:15:00,47.49,77.0,2.57,0.14,0.0,30771.16015625,3750.866943359375,10.351346969604492,253.2997589111328,370.1943664550781,864.508056640625,36020.380628585815,2021-02-28 18:15:00,2021-02-28,18:15:00,2,6:15pm
5642,2021-02-28 18:30:00,46.87,77.0,2.61,0.1,0.0,30836.453125,3857.875,15.30592918395996,254.3340301513672,371.16058349609375,867.5682373046875,36202.69690513611,2021-02-28 18:30:00,2021-02-28,18:30:00,2,6:30pm
5643,2021-02-28 18:45:00,46.39,79.0,2.2,0.07,0.0,29756.62890625,3092.572265625,15.94064998626709,,371.7126159667969,868.99755859375,,2021-02-28 18:45:00,2021-02-28,18:45:00,2,6:45pm
5644,2021-02-28 19:00:00,45.97,79.0,2.23,0.05,0.0,32228.771484375,3089.48046875,10.17391872406006,253.9983673095703,371.4071044921875,872.8840942382812,36826.7154378891,2021-02-28 19:00:00,2021-02-28,19:00:00,2,7:00pm
5645,2021-02-28 19:15:00,45.63,80.0,2.16,0.04,0.0,33471.96875,3635.37158203125,14.357898712158203,460.4698181152344,372.6994323730469,870.1032104492188,38824.97069168091,2021-02-28 19:15:00,2021-02-28,19:15:00,2,7:15pm
5646,2021-02-28 19:30:00,45.32,80.0,1.86,0.05,0.0,32515.728515625,3900.38671875,14.174514770507812,460.4782104492188,371.5498352050781,865.3009033203125,38127.61869812012,2021-02-28 19:30:00,2021-02-28,19:30:00,2,7:30pm
5647,2021-02-28 19:45:00,44.65,82.0,1.59,0.07,0.0,31743.869140625,3777.2529296875,14.79344367980957,459.7355346679688,372.4604187011719,866.8628540039062,37234.97432136536,2021-02-28 19:45:00,2021-02-28,19:45:00,2,7:45pm
5648,2021-02-28 20:00:00,44.76,82.0,1.59,0.03,0.0,,3784.48291015625,14.525920867919922,459.8509216308594,,,,2021-02-28 20:00:00,2021-02-28,20:00:00,2,8:00pm
5649,2021-02-28 20:15:00,44.71,81.0,1.37,0.01,0.0,27473.083984375,347.00946044921875,14.715405464172363,460.6040954589844,372.589111328125,869.5267333984375,29537.528790473938,2021-02-28 20:15:00,2021-02-28,20:15:00,2,8:15pm
5650,2021-02-28 20:30:00,44.68,81.0,1.4,0.0,0.0,29346.71875,352.6773376464844,13.39520263671875,42.58411407470703,372.8970031738281,870.1673583984375,30998.439765930176,2021-02-28 20:30:00,2021-02-28,20:30:00,2,8:30pm
5651,2021-02-28 20:45:00,44.46,82.0,1.58,0.0,0.0,,,,42.52537155151367,,,,2021-02-28 20:45:00,2021-02-28,20:45:00,2,8:45pm
5652,2021-02-28 21:00:00,44.44,82.0,1.66,0.01,0.0,30434.39453125,3756.48046875,10.944719314575195,42.6512451171875,373.1365966796875,867.8079833984375,35485.41554450989,2021-02-28 21:00:00,2021-02-28,21:00:00,2,9:00pm
5653,2021-02-28 21:15:00,44.56,81.0,1.71,0.01,0.0,29205.158203125,3759.597900390625,13.585012435913086,457.9900512695313,373.3706970214844,876.1036376953125,34685.805501937866,2021-02-28 21:15:00,2021-02-28,21:15:00,2,9:15pm
5654,2021-02-28 21:30:00,44.49,81.0,1.87,0.01,0.0,,,,,373.7330017089844,867.4253540039062,,2021-02-28 21:30:00,2021-02-28,21:30:00,2,9:30pm
5655,2021-02-28 21:45:00,44.29,82.0,1.98,0.02,0.0,29853.78515625,3754.5966796875,10.787004470825195,458.12640380859375,373.4498291015625,870.5353393554688,35321.28041267395,2021-02-28 21:45:00,2021-02-28,21:45:00,2,9:45pm
5656,2021-02-28 22:00:00,44.2,82.0,2.2,0.05,0.0,36499.50390625,3756.833984375,10.933448791503906,458.1851501464844,372.61614990234375,866.169921875,41964.24256134033,2021-02-28 22:00:00,2021-02-28,22:00:00,2,10:00pm
5657,2021-02-28 22:15:00,44.1,82.0,2.48,0.1,0.0,34121.0546875,3753.6064453125,,,374.2101745605469,866.9003295898438,,2021-02-28 22:15:00,2021-02-28,22:15:00,2,10:15pm
5658,2021-02-28 22:30:00,43.94,81.0,2.82,0.11,0.0,33996.4453125,3785.213134765625,13.78391170501709,458.9572143554688,372.3854370117188,871.509521484375,39498.294531822205,2021-02-28 22:30:00,2021-02-28,22:30:00,2,10:30pm
5659,2021-02-28 22:45:00,44.18,80.0,3.42,0.16,0.0,29692.849609375,3757.79736328125,13.622069358825684,459.1271362304688,373.0145568847656,867.6298217773438,35164.040556907654,2021-02-28 22:45:00,2021-02-28,22:45:00,2,10:45pm
5660,2021-02-28 23:00:00,44.1,80.0,3.59,0.19,0.0,30594.35546875,3711.357666015625,13.72496223449707,458.8439025878906,372.2066955566406,866.4910278320312,36016.979722976685,2021-02-28 23:00:00,2021-02-28,23:00:00,2,11:00pm
